ID,channel,activities_22,activities_21,activities_20,latest_activity,latest_hqa,HQAs_22,HQAs_21,HQAs_20,"('aum', 'Active Equity')","('aum', 'Active FI')","('aum', 'Alts')","('aum', 'Bond ETF')","('aum', 'Core Equity')","('aum', 'Factors')","('aum', 'MAS')","('aum', 'Market Driven/Precision')","('aum', 'Megatrends')","('aum', 'Models')","('aum', 'Sustainable')",mkt_emails_clicked 2020,mkt_emails_opened 2020,mkt_emails_sent 2020,mkt_emails_clicked 2021,mkt_emails_opened 2021,mkt_emails_sent 2021,mkt_emails_clicked 2022,mkt_emails_opened 2022,mkt_emails_sent 2022,"('events_attended', 2020)","('events_attended', 2021)","('events_attended', 2022)","('webinars_attended', 2020)","('webinars_attended', 2021)","('webinars_attended', 2022)","('web_visits', 2020)","('web_visits', 2021)","('web_visits', 2022)","('advisor_center_completes', 2020)","('advisor_center_completes', 2021)","('advisor_center_completes', 2022)","('total_ac_portfolios', 2020)","('total_ac_portfolios', 2021)","('total_ac_portfolios', 2022)"
0,uswa-emerging-wealth,12,14,4,5/23/22,1/0/00,0,0,0,595598.84,2559461.43,0,47806.98,1795.19,0,0,119720.18,0,0,0,0,1,83,0,1,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,uswa-core-wealth,13,27,31,7/5/22,6/29/22,2,2,7,1373055.14,4093799.775,16683.39,0,0,0,50780.205,0,0,0,116954.2,0,0,1,0,4,9,0,3,5,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0
2,uswa-core-wealth,10,20,36,6/8/22,11/19/21,0,1,0,110673.82,469559.145,1917.425,1768400,703619,201353,36683.82,2278810,0,0,3589.16,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,uswa-core-wealth,5,4,28,6/16/22,5/24/21,0,2,5,0,3235417.71,0,0,0,0,0,0,0,0,0,4,9,104,0,0,50,1,2,45,0,0,0,4,0,0,144,0,0,6,0,0,17,0,0
4,uswa-emerging-wealth,18,3,1,7/6/22,1/0/00,0,0,0,70137.18,118597.53,0,116534.09,204178.18,108822.38,28134.97,265167.81,0,0,0,0,2,93,0,0,26,1,1,13,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
5,uswa-metro-wealth,26,10,12,6/30/22,10/25/21,0,4,0,56046.17106,239018.4753,172002.3478,76700,184086,7253,77888.92814,1076085,0,0,132.926375,0,0,18,0,0,19,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,uswa-core-wealth,15,25,23,6/30/22,5/18/22,1,3,6,350050.73,1429298.49,0,149723,4345207,197906,728650.275,1341912,23117,0,0,0,3,3,0,3,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,uswa-emerging-wealth,0,6,0,11/30/21,1/0/00,0,0,0,0,0,0,985643.28,818874.78,42530,0,541499.98,42340,0,0,1,6,45,0,18,43,0,10,16,0,0,0,0,0,0,39,98,4,0,1,0,0,0,0
8,uswa-core-wealth,7,9,14,6/3/22,6/3/22,1,0,3,5459.145,431381.2,5357.61,0,0,0,135155.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,uswa-core-wealth,4,22,7,5/3/22,11/6/19,0,0,0,67804.555,11660.085,0,144601,78223,1632,5348.74,153788,0,0,24998,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
